"rank","business_name","review_count","categories","rating","address","price_range","url","phone"
"60","Party City","48","Party Supplies","2.5","141 Plaza Dr ","","https://www.yelp.com/biz/party-city-vallejo?osq=partysupplies","(707) 647-2296"
"61","Balloon Works by Mary R.","72","Party &amp; Event Planning,Party Supplies","5"," ","","https://www.yelp.com/biz/balloon-works-by-mary-r-vallejo-2?osq=partysupplies","(925) 297-4561"
"62","Party’s 4 You","4","Party Supplies","4.5","3901 Walnut Blvd ","","https://www.yelp.com/biz/partys-4-you-brentwood?osq=partysupplies","(925) 516-8102"
"63","TANTRUM","25","Toy Stores,Cards &amp; Stationery","4","248 Clement St Inner Richmond","$$","https://www.yelp.com/biz/tantrum-san-francisco-3?osq=partysupplies","(415) 831-4115"
"64","Daiso Japan","514","Department Stores,Discount Store","4","22 Peace Plz Japantown","$","https://www.yelp.com/biz/daiso-japan-san-francisco-3?osq=partysupplies","(415) 359-9397"
"65","Elegant Events Enterprise","40","Party &amp; Event Planning,Party Supplies,Party Equipment Rentals","5","616 Marin St ","","https://www.yelp.com/biz/elegant-events-enterprise-vallejo?osq=partysupplies","(707) 655-1292"
"66","Paperspheres","1","Party &amp; Event Planning,Party Supplies","1","5 Plaza Dr ","","https://www.yelp.com/biz/paperspheres-mill-valley?osq=partysupplies","(415) 312-7210"
"67","Party America Hdqtrs","0","Party Supplies","0","980 Atlantic Ave ","","https://www.yelp.com/biz/party-america-hdqtrs-alameda?osq=partysupplies","(510) 747-1800"
"68","The Balloon Lady","61","Balloon Services","4","750 24th St Potrero Hill","","https://www.yelp.com/biz/the-balloon-lady-san-francisco-2?osq=partysupplies","(415) 864-3737"
"69","Spoiled Button Designs and Treats","3","Party Supplies","5","447 Orange St Lower Hills","","https://www.yelp.com/biz/spoiled-button-designs-and-treats-oakland?osq=partysupplies","(510) 934-6317"
"70","Cash &amp; Carry Warehouse San Rafael Restaurant &amp; Party Supply","14","Party Supplies,Kitchen &amp; Bath,Restaurant Supplies","3.5","1201 Andersen Dr ","$","https://www.yelp.com/biz/cash-and-carry-warehouse-san-rafael-restaurant-and-party-supply-san-rafael?osq=partysupplies","(415) 457-1040"
"71","Gable’s Stationery","85","Cards &amp; Stationery","4","5636 Geary Blvd Outer Richmond","$$","https://www.yelp.com/biz/gables-stationery-san-francisco?osq=partysupplies","(415) 751-8152"
"72","Standard 5 &amp; 10 Ace Hardware","96","Toy Stores,Hardware Stores,Kitchen &amp; Bath","4.5","3545 California St Laurel Heights","$$","https://www.yelp.com/biz/standard-5-and-10-ace-hardware-san-francisco-4?osq=partysupplies","(415) 751-5767"
"73","Party Eight","0","Party Supplies","0","3860 Bay Center Pi ","","https://www.yelp.com/biz/party-eight-hayward-2?osq=partysupplies","(510) 516-6861"
"74","The Right Event","0","Party Supplies","0"," SoMa","","https://www.yelp.com/biz/the-right-event-san-francisco?osq=partysupplies","(442) 222-8256"
"75","Partyland","0","Party Supplies,Party Equipment Rentals","0","3462 Mission St Bernal Heights","","https://www.yelp.com/biz/partyland-san-francisco?osq=partysupplies","(415) 826-1530"
"76","Fiesta Jump Jumper Repair","0","Bounce House Rentals,Party Supplies","0","1607 23rd St ","","https://www.yelp.com/biz/fiesta-jump-jumper-repair-san-pablo?osq=partysupplies","(510) 235-1899"
"77","Soto Bouncin House","1","Bounce House Rentals,Party Supplies","5"," ","","https://www.yelp.com/biz/soto-bouncin-house-south-san-francisco?osq=partysupplies","(650) 219-2974"
"78","Claire’s Amazing Balloon Animals","37","Party Supplies,Party &amp; Event Planning,Balloon Services","5"," The Haight","","https://www.yelp.com/biz/claires-amazing-balloon-animals-san-francisco-2?osq=partysupplies",""
"79","Piñatas Las Morenitas Martinez","30","Party Supplies","5","4200 Foothill Blvd East Oakland","","https://www.yelp.com/biz/pi%C3%B1atas-las-morenitas-martinez-oakland?osq=partysupplies","(510) 698-4444"
"80","Attention To Detail Gifts","1","Party Supplies","5","2130 Mission St Mission","","https://www.yelp.com/biz/attention-to-detail-gifts-san-francisco?osq=partysupplies","(877) 594-4387"
"81","Affordable Treasures","126","Toy Stores,Party Supplies,Costumes","4.5","15795 Los Gatos Blvd ","$","https://www.yelp.com/biz/affordable-treasures-los-gatos?osq=partysupplies","(408) 356-3101"
"82","Dulceria Sanchez","13","Candy Stores,Party Supplies,Party Equipment Rentals","4","152 Atlantic Ave ","$","https://www.yelp.com/biz/dulceria-sanchez-pittsburg?osq=partysupplies","(925) 473-9945"
"83","San Francisco Flower Mart","171","Florists,Wholesale Stores,Nurseries &amp; Gardening","4.5","640 Brannan St Mission Bay","$$","https://www.yelp.com/biz/san-francisco-flower-mart-san-francisco?osq=partysupplies","(415) 392-7944"
"84","Parties That Cook","126","Cooking Schools,Party &amp; Event Planning,Team Building Activities","4.5","271 Francisco St North Beach/Telegraph Hill","","https://www.yelp.com/biz/parties-that-cook-san-francisco?osq=partysupplies","(415) 441-3595"
"85","Dollar Tree","22","Discount Store","3","1284 San Pablo Ave West Berkeley","$","https://www.yelp.com/biz/dollar-tree-berkeley-2?osq=partysupplies","(510) 558-6826"
"86","Party City","62","Party Supplies,Costumes","2","30761 Dyer St ","$$","https://www.yelp.com/biz/party-city-union-city?osq=partysupplies","(510) 489-9009"
"87","Surprise","16","Toy Stores,Gift Shops","3.5","4048 Piedmont Ave Piedmont Ave","$$","https://www.yelp.com/biz/surprise-oakland?osq=partysupplies","(510) 652-4438"
"88","Michaels","196","Art Supplies,Knitting Supplies,Home Decor","3","3991 Hollis St ","$$","https://www.yelp.com/biz/michaels-emeryville?osq=partysupplies","(510) 658-4830"
"89","Jax Party Supply And Rental","41","Photo Booth Rentals,Party Equipment Rentals,Balloon Services","5"," ","","https://www.yelp.com/biz/jax-party-supply-and-rental-foster-city?osq=partysupplies","(650) 274-0683"
"90","Party 4 You","1","Party &amp; Event Planning","5","26 Medway Rd ","","https://www.yelp.com/biz/party-4-you-san-rafael-2?osq=partysupplies","(415) 726-7228"
"91","Party City","110","Party Supplies,Costumes,Party &amp; Event Planning","2","20740 Stevens Creek Blvd ","$$","https://www.yelp.com/biz/party-city-cupertino-2?osq=partysupplies","(408) 863-0269"
"92","Paper Lantern Store","48","Home Decor,Party Supplies,Lighting Stores","4.5","830 2nd Ave ","$","https://www.yelp.com/biz/paper-lantern-store-redwood-city?osq=partysupplies","(877) 256-8578"
"93","Dulceria Taz","3","Party Supplies,Party Equipment Rentals","4.5","27517 Mission Blvd ","","https://www.yelp.com/biz/dulceria-taz-hayward?osq=partysupplies","(510) 706-0642"
"94","Party City","30","Party Supplies","3","2675 Santa Rosa Ave ","","https://www.yelp.com/biz/party-city-santa-rosa?osq=partysupplies","(707) 526-2700"
"95","Dulceria Don Chamoy","5","Party Supplies","4","18060 Hesperian Blvd ","","https://www.yelp.com/biz/dulceria-don-chamoy-san-lorenzo-2?osq=partysupplies","(510) 363-8619"
"96","TANTRUM","43","Toy Stores,Arts &amp; Crafts,Bookstores","5","858 Cole St Cole Valley","$$","https://www.yelp.com/biz/tantrum-san-francisco-2?osq=partysupplies","(415) 504-6980"
"97","One Dollar Only","26","Discount Store","4","6400 Mission St ","$","https://www.yelp.com/biz/one-dollar-only-daly-city?osq=partysupplies","(650) 756-1665"
"98","Full House Casino Party Rentals","48","Party &amp; Event Planning,Party Equipment Rentals","5","2497 Lombard St Marina/Cow Hollow","","https://www.yelp.com/biz/full-house-casino-party-rentals-san-francisco-2?osq=partysupplies","(415) 308-1995"
"99","East Bay Depot For Creative Reuse","264","Arts &amp; Crafts,Community Service/Non-Profit","4","4695 Telegraph Ave Temescal","$","https://www.yelp.com/biz/east-bay-depot-for-creative-reuse-oakland?osq=partysupplies","(510) 547-6470"
"100","Shibata Floral Company","11","Florists,Wholesale Stores","4","620 Brannan St Mission Bay","$$","https://www.yelp.com/biz/shibata-floral-company-san-francisco?osq=partysupplies","(415) 495-8611"
