"rank","business_name","review_count","categories","rating","address","price_range","url","phone"
"32","SF Balloon Magic","42","Party Supplies","5","1258 Fitzgerald Ave Bayview-Hunters Point","","https://www.yelp.com/biz/sf-balloon-magic-san-francisco?osq=balloon","(415) 970-3317"
"33","Party Fever","56","Party &amp; Event Planning,Party Supplies,Party Equipment Rentals","4","1343 Jacklin Rd ","","https://www.yelp.com/biz/party-fever-milpitas-4?osq=balloon","(408) 649-3870"
"34","Marin Flowers and Gifts","15","Florists","5","1203 4th St ","","https://www.yelp.com/biz/marin-flowers-and-gifts-san-rafael-3?osq=balloon","(415) 459-7335"
"35","Napa Valley Drifters Hot Air Balloon","115","Hot Air Balloons","4"," ","","https://www.yelp.com/biz/napa-valley-drifters-hot-air-balloon-napa?osq=balloon","(707) 492-5701"
"36","Nancy Ann’s Flower Market","91","Florists","4","1505 Bridgeway ","$$","https://www.yelp.com/biz/nancy-anns-flower-market-sausalito?osq=balloon","(415) 332-6272"
"37","Diddams","29","Toy Stores,Party Supplies,Costumes","3","468 Westlake Ctr ","$$","https://www.yelp.com/biz/diddams-daly-city?osq=balloon","(650) 756-5050"
"38","Party Fiesta Balloon Decor","125","Balloon Services,Bartenders","4.5","999 Lincoln Ave Willow Glen","","https://www.yelp.com/biz/party-fiesta-balloon-decor-san-jose-2?osq=balloon","(408) 292-6000"
"39","Balloon Thrills","2","Balloon Services","5"," ","","https://www.yelp.com/biz/balloon-thrills-walnut-creek-2?osq=balloon","(925) 383-6961"
"40","Amaezing Balloons &amp; Decors","1","Balloon Services","5","218 Paris St Excelsior","","https://www.yelp.com/biz/amaezing-balloons-and-decors-san-francisco-2?osq=balloon","(415) 225-4225"
"41","Ultimate Party Entertainment","8","Face Painting,Balloon Services","5"," ","","https://www.yelp.com/biz/ultimate-party-entertainment-san-rafael?osq=balloon","(415) 797-7479"
"42","Balloon Animal Friends!","2","Balloon Services,Face Painting","5"," North Berkeley","","https://www.yelp.com/biz/balloon-animal-friends-berkeley?osq=balloon","(804) 767-0995"
"43","Balloon Odyssey","3","Balloon Services","4","1516 Pomona St ","","https://www.yelp.com/biz/balloon-odyssey-crockett?osq=balloon","(510) 787-1609"
"44","Claire’s Amazing Balloon Animals","37","Party Supplies,Party &amp; Event Planning,Balloon Services","5"," The Haight","","https://www.yelp.com/biz/claires-amazing-balloon-animals-san-francisco-2?osq=balloon",""
"45","Diddams","116","Party Supplies,Costumes,Toy Stores","4","1952 W El Camino Real ","$$","https://www.yelp.com/biz/diddams-mountain-view-2?osq=balloon","(650) 965-0138"
"46","Playland Sausalito","21","Playgrounds,Party &amp; Event Planning,Recreation Centers","4.5","610 Coloma St ","","https://www.yelp.com/biz/playland-sausalito-sausalito?osq=balloon","(415) 377-9678"
"47","Bouquet &amp; Balloons","0","Balloon Services","0","280 Northgate One ","","https://www.yelp.com/biz/bouquet-and-balloons-san-rafael?osq=balloon","(415) 499-0815"
"48","Party City","74","Party Supplies,Toy Stores,Costumes","3","1685 Bryant St Mission","$$","https://www.yelp.com/biz/party-city-san-francisco?osq=balloon","(415) 553-8193"
"49","Hooray Balloons Kids Entertainment","45","Party &amp; Event Planning,Face Painting,Balloon Services","5"," ","","https://www.yelp.com/biz/hooray-balloons-kids-entertainment-vallejo?osq=balloon","(707) 390-0768"
"50","Silver Rainbow Company","4","Party Supplies,Balloon Services","5","111 Traynor St ","","https://www.yelp.com/biz/silver-rainbow-company-hayward?osq=balloon","(510) 582-2335"
"51","Balloonatics","57","Balloon Services","4.5","180 Dillon Ave ","","https://www.yelp.com/biz/balloonatics-campbell?osq=balloon","(408) 866-8206"
"52","Diddams","93","Party Supplies,Costumes","3","1940 S El Camino Real ","$$","https://www.yelp.com/biz/diddams-san-mateo-2?osq=balloon","(650) 235-8448"
"53","Fantastico","130","Party Supplies,Costumes,Holiday Decorations","4","559 6th St Mission Bay","$$","https://www.yelp.com/biz/fantastico-san-francisco?osq=balloon","(415) 636-6689"
"54","Modern Twist Balloons","0","Balloon Services","0","145 Jefferson St Fisherman's Wharf","","https://www.yelp.com/biz/modern-twist-balloons-san-francisco?osq=balloon","(415) 754-8108"
"55","Montgomery Flowers At Bart","18","Florists","4.5","598 Market St Financial District","$$","https://www.yelp.com/biz/montgomery-flowers-at-bart-san-francisco?osq=balloon","(415) 788-3611"
"56","Balloon Craft","3","Balloon Services,Party &amp; Event Planning","5"," ","","https://www.yelp.com/biz/balloon-craft-livermore-2?osq=balloon","(925) 409-1609"
"57","Bay Area Party Entertainment","5","Photo Booth Rentals,Face Painting,Clowns","5","934 Pierce St ","","https://www.yelp.com/biz/bay-area-party-entertainment-albany?osq=balloon","(415) 548-1178"
"58","Floral Supply Syndicate","10","Arts &amp; Crafts,Home Decor,Balloon Services","4","670 Brannan St Mission Bay","$","https://www.yelp.com/biz/floral-supply-syndicate-san-francisco?osq=balloon","(415) 986-5443"
"59","Rafael Florist","53","Florists","4","815 3rd St ","$$","https://www.yelp.com/biz/rafael-florist-san-rafael?osq=balloon","(415) 457-4711"
"60","Balloon Boss","5","Balloon Services","4"," ","","https://www.yelp.com/biz/balloon-boss-san-mateo?osq=balloon","(510) 859-3442"
"61","Razzle","0","Balloon Services","0"," Financial District","","https://www.yelp.com/biz/razzle-san-francisco?osq=balloon",""
"62","Balloons By Katy","3","Balloon Services","5"," ","","https://www.yelp.com/biz/balloons-by-katy-oakland?osq=balloon","(925) 709-4280"
"63","American Greetings","25","Cards &amp; Stationery","3.5","333 Market St Financial District","$$","https://www.yelp.com/biz/american-greetings-san-francisco-2?osq=balloon","(415) 974-6369"
"64","Lydia’s Flowers","41","Florists","4","5 Embarcadero Ctr Financial District","$$","https://www.yelp.com/biz/lydias-flowers-san-francisco?osq=balloon","(415) 398-6131"
"65","One Stop Party Shop","45","Party Supplies,Costumes,Wigs","4","1600 Church St Noe Valley","$$","https://www.yelp.com/biz/one-stop-party-shop-san-francisco?osq=balloon","(415) 824-0414"
"66","Party City","41","Party Supplies,Holiday Decorations,Costumes","2.5","3500 Klose Way ","$$","https://www.yelp.com/biz/party-city-richmond-2?osq=balloon","(510) 222-9880"
"67","Balloon Specialties","15","Balloon Services","4.5"," ","","https://www.yelp.com/biz/balloon-specialties-santa-rosa-9?osq=balloon",""
"68","Copenhagen Balloons &amp; Promotions","20","Balloon Services","4","620 Taylor Way ","","https://www.yelp.com/biz/copenhagen-balloons-and-promotions-san-carlos?osq=balloon","(650) 802-8300"
"69","Partyland","18","Party Supplies","4","136 Maple St ","","https://www.yelp.com/biz/partyland-livermore?osq=balloon","(925) 292-4844"
"70","Mariposa The Clown","5","Clowns,Magicians,Face Painting","5"," ","","https://www.yelp.com/biz/mariposa-the-clown-vallejo-2?osq=balloon","(707) 563-9386"
"71","Amoureux Peluche","2","Party Supplies,Party &amp; Event Planning,Balloon Services","5"," ","","https://www.yelp.com/biz/amoureux-peluche-vallejo-2?osq=balloon","(707) 712-4256"
"72","Party Time Party Supplies","32","Party Supplies,Party Equipment Rentals","3.5","22257 Mission Blvd ","","https://www.yelp.com/biz/party-time-party-supplies-hayward?osq=balloon","(510) 538-2164"
"73","Novedades Patty","1","Party &amp; Event Planning","4","3909 MacDonald Ave ","","https://www.yelp.com/biz/novedades-patty-richmond?osq=balloon","(510) 412-0603"
"74","San Francisco Flower Mart","171","Florists,Wholesale Stores,Nurseries &amp; Gardening","4.5","640 Brannan St Mission Bay","$$","https://www.yelp.com/biz/san-francisco-flower-mart-san-francisco?osq=balloon","(415) 392-7944"
"75","Flowers &amp; Balloons By Anna","59","Florists,Balloon Services","4.5","1054 S Mary Ave ","$$","https://www.yelp.com/biz/flowers-and-balloons-by-anna-sunnyvale?osq=balloon","(650) 784-2010"
"76","99 Cents Only","62","Discount Store,Party Supplies","3.5","1941 San Pablo Ave West Berkeley","$","https://www.yelp.com/biz/99-cents-only-berkeley?osq=balloon","(510) 704-1799"
"77","Kamy’s Balloons","3","Balloon Services","5"," ","","https://www.yelp.com/biz/kamys-balloons-union-city?osq=balloon","(626) 315-2548"
"78","Boswell’s Party Supplies","84","Party Supplies,Costumes,Party Equipment Rentals","3","1901 Camino Ramon ","$$","https://www.yelp.com/biz/boswells-party-supplies-danville?osq=balloon","(925) 866-1644"
"79","Party’s 4 You","4","Party Supplies","4.5","3901 Walnut Blvd ","","https://www.yelp.com/biz/partys-4-you-brentwood?osq=balloon","(925) 516-8102"
"80","Miss Shiny For Parties","0","Balloon Services,Party &amp; Event Planning","0","500 Terry Francois St Mission Bay","","https://www.yelp.com/biz/miss-shiny-for-parties-san-francisco-2?osq=balloon","(732) 484-9245"
"81","Fiesta Jump","13","Party Supplies,Party Equipment Rentals","4","1607 23rd St ","","https://www.yelp.com/biz/fiesta-jump-san-pablo?osq=balloon","(510) 235-1899"
"82","Dana’s Event Boutique And Florist","11","Party Supplies,Florists,Custom Cakes","4.5","20641 Rustic Dr ","","https://www.yelp.com/biz/danas-event-boutique-and-florist-castro-valley?osq=balloon","(510) 733-3121"
"83","Everyday Flowers and Balloons","58","Florists,Floral Designers,Balloon Services","3.5","512 El Camino Real ","$$","https://www.yelp.com/biz/everyday-flowers-and-balloons-redwood-city-2?osq=balloon","(650) 366-1757"
"84","Party City","38","Costumes,Party Supplies,Toy Stores","2","151B Serramonte Ctr ","$$","https://www.yelp.com/biz/party-city-daly-city-2?osq=balloon","(650) 757-1109"
"85","Balloons By Angie","2","Balloon Services","5"," ","","https://www.yelp.com/biz/balloons-by-angie-palo-alto?osq=balloon",""
"86","Ark Angels Flowers","6","Florists,Floral Designers,Balloon Services","3.5","1775 Tiburon Blvd. ","$$$","https://www.yelp.com/biz/ark-angels-flowers-tiburon?osq=balloon","(415) 435-9077"
"87","Bay Area Dinner Show","46","Magicians,Performing Arts","5","2140 Clement St Outer Richmond","","https://www.yelp.com/biz/bay-area-dinner-show-san-francisco?osq=balloon","(415) 244-2700"
"88","The Event Firm","13","Party &amp; Event Planning","5","548 Market St Financial District","","https://www.yelp.com/biz/the-event-firm-san-francisco?osq=balloon","(415) 523-0470"
"89","Patricia’s Gift &amp; Flowers","14","Florists,Floral Designers","4.5","571 Columbus Ave Russian Hill","$$","https://www.yelp.com/biz/patricias-gift-and-flowers-san-francisco?osq=balloon","(415) 606-7137"
"90","Big 6 Flowers","2","Florists","5","425 Clement St Inner Richmond","","https://www.yelp.com/biz/big-6-flowers-san-francisco?osq=balloon","(415) 213-5671"
"91","1up Events","19","Party &amp; Event Planning","5","698 De Haro St Potrero Hill","","https://www.yelp.com/biz/1up-events-san-francisco-2?osq=balloon","(415) 855-9488"
"92","Rainbow Custom Made Pinatas","33","Party Supplies","5"," Bernal Heights","","https://www.yelp.com/biz/rainbow-custom-made-pinatas-san-francisco?osq=balloon","(650) 758-2285"
"93","Showers of Flowers","34","Florists","4.5","3850 San Pablo Ave ","$$","https://www.yelp.com/biz/showers-of-flowers-emeryville?osq=balloon","(510) 652-3458"
"94","The Flower Girl","35","Nurseries &amp; Gardening,Florists","4","1127 Irving St Inner Sunset","$$","https://www.yelp.com/biz/the-flower-girl-san-francisco?osq=balloon","(415) 731-0230"
"95","Fresh Flower &amp; Gift Shop","138","Florists","5","499 Golden Gate Ave Civic Center","$$","https://www.yelp.com/biz/fresh-flower-and-gift-shop-san-francisco?osq=balloon","(415) 703-0380"
"96","Party City","23","Costumes,Toy Stores,Party Supplies","2.5","2251 S Shore Ctr ","$$$","https://www.yelp.com/biz/party-city-alameda?osq=balloon","(510) 769-4826"
"97","La Pinata Market","15","Party Supplies,Candy Stores","4","511 E 4th Ave ","$$","https://www.yelp.com/biz/la-pinata-market-san-mateo?osq=balloon","(650) 343-6554"
"98","Bay Party Store","6","Costumes,Party Supplies","5","10700 Macarthur Blvd East Oakland","$","https://www.yelp.com/biz/bay-party-store-oakland?osq=balloon","(510) 878-7032"
"99","Dulceria La Rosa","5","Candy Stores,Party Supplies,Party Equipment Rentals","4.5","3606 International Blvd Fruitvale","$","https://www.yelp.com/biz/dulceria-la-rosa-oakland-2?osq=balloon","(510) 261-3346"
"100","Balloons360","3","Balloon Services","3.5","5108 Homestead Ct ","","https://www.yelp.com/biz/balloons360-antioch?osq=balloon","(209) 596-7787"
